material_category,condition,weight_kg,target_rate_inr
lcd_panel,damaged,56.02636173933123,28.58
cable,good,49.37140240590213,79.9
cable,good,84.68917995905775,79.7
pcb,damaged,88.33655344853193,78.01
motor,mixed,86.42048873978672,39.34
battery,damaged,48.810985692504396,50.08
crt,good,11.479374957354942,28.61
crt,good,89.08720003252293,32.98
battery,mixed,74.24517452396339,57.01
crt,good,0.5,29.88
magnet_assembly,good,0.5,60.55
motor,damaged,39.279265926285106,35.7
mixed_plastic,good,4.091201087000002,14.82
lcd_panel,good,105.58411312586364,48.48
other,damaged,0.5,7.62
pcb,good,12.486998403395091,125.01
magnet_assembly,damaged,72.83562042772668,44.42
pcb,good,95.42262560722395,120.76
lcd_panel,damaged,1.9947304907934722,28.4
motor,damaged,98.05521776870764,30.31
cable,good,64.17678340478649,79.92
mixed_plastic,damaged,0.5,9.65
battery,damaged,34.34392751672673,47.76
pcb,damaged,67.520903896867,89.43
lcd_panel,damaged,91.92078975979808,29.44
magnet_assembly,good,24.85721010097174,58.66
magnet_assembly,damaged,35.262000436532134,46.98
lcd_panel,good,56.28807420388312,43.38
other,damaged,65.09185061841637,7.22
magnet_assembly,good,116.05403945917959,62.09
pcb,damaged,67.75277712584914,83.38
battery,damaged,80.98536213717347,44.42
battery,good,111.72270607436334,66.98
pcb,damaged,102.93055228604946,92.56
battery,damaged,72.71073471030499,55.22
cable,damaged,55.92726925516597,54.21
crt,damaged,77.47394051063884,20.32
crt,damaged,52.83889662558984,19.24
lcd_panel,good,0.5,47.18
lcd_panel,good,94.67573760806715,46.1
battery,good,67.9459469620802,72.25
battery,damaged,46.85073265328772,53.3
crt,damaged,35.28948869387892,21.48
magnet_assembly,mixed,28.091060681626846,52.3
crt,damaged,15.495395137378075,20.27
crt,damaged,81.62375957696582,22.96
motor,good,65.68167558930384,52.58
cable,damaged,45.01899009625263,58.11
battery,good,94.94167126766067,68.73
battery,damaged,135.7282075245555,53.05
battery,damaged,53.032182327749055,48.18
magnet_assembly,damaged,22.91353153951553,44.47
other,damaged,17.111184177342743,6.17
mixed_plastic,good,59.74748845967649,16.1
lcd_panel,good,0.5,48.24
magnet_assembly,mixed,0.5,51.04
motor,damaged,0.5,37.05
pcb,good,35.938528055182005,122.87
lcd_panel,damaged,62.90874241352358,33.71
other,good,16.91076225790708,9.93
mixed_plastic,damaged,104.35266533330915,11.93
battery,good,38.546139353363216,76.21
battery,good,31.123210348394355,68.25
crt,damaged,58.68825911572259,20.73
battery,damaged,107.47018690198213,54.81
mixed_plastic,good,21.932000919686807,14.49
battery,good,43.69104166983586,70.21
lcd_panel,good,0.5,45.18
cable,mixed,63.67023903108638,60.95
cable,damaged,125.04683356863545,52.34
pcb,mixed,0.5,106.39
lcd_panel,damaged,123.25835063417415,28.48
mixed_plastic,good,61.81910097692733,15.11
motor,mixed,6.106165257333664,40.69
crt,damaged,0.5,18.34
motor,damaged,26.024999081849085,35.34
battery,mixed,110.64933291735585,62.23
pcb,good,62.4983392439179,122.11
crt,mixed,0.5,25.03
lcd_panel,good,71.41967239900819,43.52
lcd_panel,damaged,29.28350976777463,34.35
battery,good,85.7130145719542,74.81
crt,good,109.56180695537915,29.46
motor,damaged,85.11300673920454,39.8
lcd_panel,damaged,2.6696594933689966,35.14
cable,damaged,0.5,55.21
magnet_assembly,damaged,88.7451393850938,41.51
crt,damaged,75.8293115489299,19.55
mixed_plastic,good,0.5,14.72
pcb,damaged,98.23660828970341,83.04
motor,damaged,72.40902843882878,34.12
pcb,damaged,13.514869735620053,95.35
pcb,good,28.789695265102367,117.19
battery,damaged,18.28508670950623,49.48
lcd_panel,good,1.2604143485365782,43.37
other,damaged,3.586998989227766,7.02
crt,good,74.56666800173701,29.33
mixed_plastic,damaged,80.30030840189221,10.85
magnet_assembly,damaged,39.883227835720206,37.77
pcb,damaged,55.0973762667236,93.48
lcd_panel,damaged,0.5,29.42
battery,good,58.13854543468892,72.42
crt,good,19.07100118188708,32.51
cable,damaged,35.96843019308524,53.68
other,damaged,53.094732305904735,7.17
mixed_plastic,damaged,15.548631946869456,10.69
other,good,59.03989096376119,9.87
motor,damaged,83.58989751590856,32.37
motor,good,41.750441641765335,53.88
mixed_plastic,mixed,0.5,10.74
pcb,good,56.95865316678279,130.51
motor,mixed,86.3148778896971,39.91
motor,damaged,53.97329221716903,35.72
pcb,mixed,80.05548493487156,88.92
motor,damaged,75.62328027796606,35.3
crt,damaged,17.408634880388107,19.73
battery,damaged,42.08148125194739,50.31
motor,good,69.07312377296441,48.51
magnet_assembly,damaged,75.06464270131939,37.05
battery,good,9.49527716347874,67.73
mixed_plastic,damaged,41.47171492379343,11.55
lcd_panel,good,56.38133622922889,47.68
other,good,76.7240380702685,10.58
mixed_plastic,mixed,42.431693620172915,12.75
pcb,good,71.7393261185511,123.42
cable,good,91.39683708322396,83.06
lcd_panel,mixed,0.5,35.66
motor,damaged,9.676547563303835,34.39
crt,good,40.43285335879325,30.95
mixed_plastic,good,82.92419902980028,15.47
motor,mixed,0.5,36.39
crt,damaged,95.75016172827716,23.36
cable,mixed,83.12613961560422,68.46
crt,good,90.39579844198641,31.06
battery,mixed,91.50159777031597,50.55
cable,damaged,29.59934404581012,57.66
mixed_plastic,good,80.27954466581407,15.87
pcb,damaged,13.113387032894984,85.03
battery,mixed,45.521099176215316,52.18
magnet_assembly,damaged,63.05693460282857,47.37
mixed_plastic,damaged,41.8861512131939,11.62
cable,mixed,51.876617398010346,68.64
battery,damaged,60.00975730294594,50.49
motor,good,4.4098228737317555,48.28
other,mixed,10.415807189656768,8.97
cable,good,44.968523196014075,87.05
motor,damaged,0.5,30.55
other,good,111.18201277842455,10.68
other,good,92.071338680636,10.88
magnet_assembly,good,40.105289965595816,63.64
crt,damaged,68.86752420791363,18.99
battery,mixed,0.5,54.07
motor,good,53.13635690024308,54.82
other,good,0.5,10.12
mixed_plastic,damaged,22.897351490651715,11.25
mixed_plastic,mixed,55.971462538899104,11.12
crt,good,152.79707358761334,28.8
pcb,damaged,5.715821815999142,84.59
crt,damaged,2.8988653890025446,19.09
magnet_assembly,mixed,58.14807192555398,46.48
pcb,damaged,35.52436115067985,75.75
lcd_panel,mixed,47.21640708347959,35.17
other,good,78.8668825617294,9.53
motor,good,4.837929151310831,51.77
pcb,damaged,35.9727388848485,77.84
mixed_plastic,mixed,40.83135793785632,13.39
cable,damaged,23.710667275300246,62.34
magnet_assembly,damaged,12.50577271106716,44.83
battery,good,63.04532088968472,70.92
lcd_panel,mixed,0.5,37.12
lcd_panel,good,97.40841166043558,45.2
battery,good,23.19843225778613,76.46
motor,damaged,56.656605950515534,39.85
magnet_assembly,damaged,10.96080766833333,41.1
pcb,damaged,84.78961760913651,81.66
other,good,92.28499733425235,10.75
cable,good,61.892279153992895,84.2
motor,mixed,74.91199325855688,36.18
cable,damaged,44.052143035511186,55.96
magnet_assembly,good,22.83032333146243,58.26
other,good,13.736853079238372,10.45
battery,good,83.77769404117475,76.1
battery,good,25.007256892172848,68.25
crt,good,51.04364200843335,31.21
battery,mixed,82.97661553029842,59.1
mixed_plastic,damaged,45.01544874626122,10.43
mixed_plastic,mixed,15.66568879275146,10.59
cable,good,78.01239517635966,86.1
crt,damaged,0.5,22.63
battery,good,89.4848880051484,70.19
crt,damaged,24.921317688489303,19.48
pcb,good,122.49794231987715,114.04
pcb,good,0.5,115.65
crt,good,95.76540810465673,32.78
magnet_assembly,damaged,77.6648272380347,45.11
battery,damaged,101.4459382042577,53.89
other,mixed,104.19380689492999,7.1
magnet_assembly,mixed,91.14570521212264,48.67
motor,mixed,67.86558926068344,44.71
magnet_assembly,damaged,41.469104961368345,44.94
cable,mixed,87.5313522390399,56.59
mixed_plastic,good,29.358210871305044,14.52
lcd_panel,mixed,0.5,35.14
magnet_assembly,good,101.92710831338785,61.86
motor,good,84.71060096683553,52.12
lcd_panel,good,61.32128821580865,48.62
magnet_assembly,good,75.63615397636944,57.63
cable,good,43.12346515712969,77.06
battery,damaged,0.5,47.58
other,good,72.71413895085085,10.28
crt,good,37.98558047645486,29.79
cable,damaged,17.808523333587004,57.43
crt,mixed,11.861633161123947,26.74
battery,damaged,38.995040546117025,43.25
motor,mixed,59.739829552315996,44.04
lcd_panel,good,87.12391106464774,49.44
mixed_plastic,mixed,96.68411657534544,12.04
lcd_panel,good,114.84434231150861,43.0
pcb,mixed,70.61091411947062,89.19
other,mixed,97.76727850204276,8.99
pcb,damaged,16.705777075830852,91.58
motor,damaged,68.85662225545616,37.48
other,damaged,16.395596856666465,7.75
pcb,good,56.587913097485625,122.58
pcb,mixed,61.4346156289962,99.73
battery,damaged,63.378271599480996,45.94
motor,good,48.67492108504812,48.11
battery,mixed,121.78231454071151,49.86
pcb,mixed,102.95499215148853,97.58
crt,mixed,4.727354314692171,25.78
mixed_plastic,good,39.35049871354169,15.0
other,mixed,39.254557664507885,7.21
motor,good,91.6082371289465,47.54
battery,damaged,46.209865056863904,44.25
cable,damaged,17.5689632042806,51.09
crt,damaged,84.49052099187516,18.7
lcd_panel,damaged,109.80534982069646,27.96
magnet_assembly,damaged,58.545216977140406,47.56
battery,good,57.02183319562032,67.21
crt,damaged,66.34049393509704,22.25
motor,good,30.79472529216597,54.04
cable,damaged,55.11210789467131,57.51
magnet_assembly,good,32.033447648977486,64.37
magnet_assembly,damaged,95.0701276770481,39.28
cable,damaged,0.8052248703674181,60.72
cable,mixed,42.89038714050376,68.37
cable,damaged,41.10348886177737,63.1
battery,damaged,4.121654850662431,47.57
other,damaged,5.336567829846118,7.45
lcd_panel,good,3.1462796107611197,42.96
other,damaged,3.4711783963838485,7.09
other,mixed,152.56231797201386,8.55
lcd_panel,damaged,12.225248898277897,27.29
pcb,good,62.929830516359175,122.32
magnet_assembly,good,22.94430791762921,58.8
other,good,122.03761731643263,10.48
battery,good,24.61579858826573,71.28
mixed_plastic,damaged,89.83008946725424,11.04
lcd_panel,damaged,0.5,33.25
crt,mixed,80.4165862457719,26.45
motor,damaged,37.06575150855165,34.82
cable,good,51.904142072574054,85.31
lcd_panel,good,14.947253281032744,45.12
crt,mixed,51.50640932671751,23.15
magnet_assembly,good,121.9074610739809,64.21
lcd_panel,good,75.6337144506804,47.28
mixed_plastic,damaged,122.47920496539486,11.61
lcd_panel,damaged,64.31702914767075,34.05
magnet_assembly,damaged,136.23539635297848,45.41
pcb,good,96.88956987033575,116.95
lcd_panel,good,23.943279855422066,48.63
pcb,mixed,30.644566637827136,92.09
mixed_plastic,mixed,27.48025313857333,10.99
motor,damaged,46.72597074047768,32.28
mixed_plastic,mixed,4.886911179947759,12.54
motor,good,72.57109552106945,49.43
crt,mixed,87.31516337314486,23.55
cable,damaged,84.92634194476595,60.28
mixed_plastic,damaged,153.74286015435445,9.09
lcd_panel,damaged,66.48873608975734,34.86
lcd_panel,damaged,14.471569782110087,30.45
lcd_panel,damaged,0.5,33.6
pcb,damaged,116.27953878819102,87.18
lcd_panel,good,0.5,48.52
other,good,43.73078407109897,10.27
other,damaged,92.4960603950048,6.19
crt,good,0.5,31.98
mixed_plastic,good,96.43307149514078,14.78
pcb,damaged,26.347871396318766,88.07
other,damaged,0.5,6.5
crt,good,0.5,31.22
battery,damaged,0.5,52.95
mixed_plastic,mixed,91.21133816127369,11.12
cable,good,59.55156636106054,76.69
battery,mixed,79.30560308862317,53.43
crt,damaged,46.77133679565671,22.13
cable,mixed,55.573703744850576,69.89
mixed_plastic,damaged,68.10139567285339,10.47
motor,good,12.461283591766055,52.55
lcd_panel,good,75.77072638037207,47.68
motor,mixed,71.88863752228016,43.38
lcd_panel,good,13.313607792158564,48.36
mixed_plastic,damaged,57.93157509487461,11.76
crt,good,39.615767102021024,31.46
battery,damaged,0.5,44.23
motor,good,87.7385536746147,54.0
other,mixed,63.62400076399434,8.48
cable,damaged,107.40726196760207,60.24
cable,damaged,73.89600279399431,60.77
pcb,mixed,78.04690969243593,93.02
motor,damaged,94.37040808891695,36.1
battery,good,0.5,72.26
crt,good,0.5,28.83
pcb,good,25.961041479865557,125.57
lcd_panel,damaged,89.27061947966376,31.67
motor,mixed,37.0067446596551,43.14
other,good,107.81538758331735,10.3
magnet_assembly,mixed,0.5,50.62
battery,good,39.892572479961444,76.23
cable,mixed,65.68338118803477,61.63
lcd_panel,good,68.46787672496848,47.27
pcb,damaged,143.88189933490924,74.15
lcd_panel,good,7.654426024116745,48.55
magnet_assembly,damaged,52.52661837228695,44.51
mixed_plastic,damaged,17.095143380435964,11.45
mixed_plastic,damaged,43.986323096763854,9.34
magnet_assembly,damaged,151.841933336179,45.52
mixed_plastic,damaged,66.5222613514473,11.52
mixed_plastic,damaged,0.5,9.91
mixed_plastic,mixed,65.0028765873111,11.77
other,good,16.58611786960971,10.38
crt,damaged,135.80596511093552,23.18
magnet_assembly,damaged,28.10038572004757,38.76
magnet_assembly,damaged,12.488806645203582,38.78
other,damaged,17.853017281210768,6.86
magnet_assembly,damaged,115.5646722177627,36.19
mixed_plastic,good,62.107413959839434,15.55
magnet_assembly,damaged,28.63406601247613,39.18
battery,mixed,26.73276344205425,52.17
other,damaged,9.409730772285329,6.88
lcd_panel,damaged,57.84670182314914,29.44
mixed_plastic,damaged,25.92451155195066,10.6
pcb,good,44.25950622578353,120.53
pcb,damaged,28.853519866513523,83.16
mixed_plastic,damaged,102.44840921569599,9.51
other,mixed,77.77625275781485,7.0
mixed_plastic,damaged,6.307489413096839,11.98
mixed_plastic,damaged,37.34366201220792,9.73
battery,good,82.53186306332309,75.58
battery,mixed,22.54723697403537,59.95
lcd_panel,good,38.36775679423849,45.06
other,good,33.68707655725823,10.91
other,damaged,27.970919036454514,7.88
lcd_panel,damaged,82.5277762741159,35.27
motor,damaged,51.04489726158903,33.97
motor,mixed,0.5,38.81
mixed_plastic,damaged,21.877484079954247,9.64
other,good,67.35869689860189,9.53
lcd_panel,good,53.492598960342555,49.05
lcd_panel,good,71.86766423085253,48.57
cable,damaged,29.34975936251492,63.24
motor,good,87.27104389634823,50.26
mixed_plastic,damaged,0.5,9.24
cable,damaged,51.44440701320513,49.69
motor,good,51.962136370974285,50.24
pcb,damaged,40.77198347218087,76.6
other,good,27.45403890294629,9.68
pcb,good,33.562753748032634,126.45
crt,damaged,0.5,21.74
motor,damaged,86.49740997036665,31.31
cable,damaged,0.5,56.41
motor,mixed,103.81624762446688,42.34
motor,mixed,27.31230324749287,39.19
motor,good,34.42328490027849,53.2
mixed_plastic,damaged,10.235750678312293,10.64
battery,mixed,48.762440113775035,50.37
cable,mixed,79.29380217686581,68.97
cable,mixed,0.5,62.28
crt,mixed,23.237090453603336,25.13
crt,mixed,91.59618749584305,21.23
mixed_plastic,damaged,106.42272020020636,11.69
mixed_plastic,good,98.57916535629387,16.25
magnet_assembly,damaged,68.39888571756465,42.15
battery,good,22.891385209915754,66.9
magnet_assembly,damaged,17.90029067153411,39.56
cable,damaged,101.95245299388208,58.58
pcb,good,61.30174104427172,127.76
motor,good,21.685892930272672,51.36
crt,good,74.28524403134475,30.22
lcd_panel,good,102.4463554527242,44.47
cable,damaged,68.23551088326431,48.67
lcd_panel,good,136.60009379604335,43.6
mixed_plastic,good,83.26513230657875,15.42
lcd_panel,good,48.89317329622954,45.03
mixed_plastic,damaged,40.458662126293326,10.65
other,good,18.83944627865231,9.91
cable,good,58.41882166121938,83.75
pcb,damaged,43.41747715965624,79.61
magnet_assembly,mixed,43.31513144854354,51.06
battery,mixed,61.30319801953199,59.47
magnet_assembly,good,44.12004871211709,63.78
other,mixed,35.42130949919085,7.09
lcd_panel,good,25.91578588874965,49.26
pcb,good,60.934669838876985,120.16
motor,damaged,59.63012717954273,32.98
pcb,good,154.0673245672158,115.69
other,damaged,44.46176064064905,6.02
crt,damaged,1.0280705484253687,23.29
cable,good,101.51929895207753,78.45
battery,damaged,33.08752155657827,50.62
lcd_panel,good,61.11932258970834,42.79
motor,mixed,108.1924257996697,35.11
other,mixed,0.5,7.3
magnet_assembly,damaged,5.747672750866322,42.02
cable,good,98.42958155756341,78.61
battery,damaged,74.76148793145174,42.03
magnet_assembly,good,0.5,64.15
cable,damaged,100.50336413708729,61.99
pcb,good,111.68439810271502,124.09
mixed_plastic,damaged,130.24371552636492,11.41
pcb,damaged,94.63608213461445,88.98
cable,damaged,24.02937687696302,55.04
cable,good,14.894303209617,80.46
crt,damaged,81.29973978802487,22.41
other,mixed,9.0325270268318,8.27
motor,mixed,124.16370265336754,42.47
magnet_assembly,damaged,0.5,40.35
lcd_panel,good,63.94577377336883,47.48
motor,good,0.5,54.56
pcb,damaged,56.811934486495765,92.95
battery,damaged,77.75423052031687,51.88
cable,good,45.88657919102402,86.85
pcb,damaged,86.00707947649866,75.81
other,damaged,81.12436744504069,7.31
cable,good,85.45320784246358,87.7
motor,damaged,22.293537686795894,38.45
motor,good,28.956878711521647,47.97
other,good,49.43921846969645,9.97
magnet_assembly,good,81.47878262219982,61.93
mixed_plastic,damaged,14.354679655940544,11.81
mixed_plastic,good,81.77058718487308,14.7
mixed_plastic,good,0.5,14.94
battery,damaged,17.663207019064522,44.12
cable,damaged,37.38940623033815,49.42
motor,damaged,9.367127240864122,38.6
other,damaged,52.46719399391887,7.1
lcd_panel,good,7.114439520575722,43.87
lcd_panel,damaged,0.5,28.94
lcd_panel,mixed,115.30609990788521,34.12
mixed_plastic,good,39.56350935531479,15.05
pcb,good,24.860605444158132,118.66
cable,damaged,74.09908837757928,60.13
cable,damaged,62.92317092464116,62.07
other,damaged,39.90585991494849,7.5
crt,good,47.55826298120017,32.59
crt,good,20.565662027086603,32.09
magnet_assembly,damaged,32.945696151778264,45.31
pcb,good,95.9378283678702,117.36
mixed_plastic,good,64.50283260105941,15.68
magnet_assembly,damaged,104.736878178907,38.35
mixed_plastic,damaged,130.7935156661702,9.5
pcb,good,0.5,130.15
mixed_plastic,damaged,32.942918995473306,10.09
battery,damaged,53.58649004433038,50.61
motor,mixed,63.6047082561858,38.2
crt,damaged,28.301277331752157,23.9
battery,damaged,65.59547277889581,43.3
cable,damaged,19.10520862742799,62.24
battery,mixed,0.5,61.85
motor,damaged,9.6336684260148,33.14
lcd_panel,mixed,0.5,35.95
pcb,mixed,25.687120516222702,96.61
battery,good,59.74530000029495,70.91
lcd_panel,good,31.63635745781656,45.79
other,damaged,113.2998545432081,7.61
pcb,good,70.53981907684062,127.31
lcd_panel,good,31.415308108064277,43.93
other,damaged,58.04638623491357,7.98
magnet_assembly,good,105.03464692735825,61.61
motor,good,90.50184004215347,48.01
other,good,70.5563139863566,10.81
magnet_assembly,mixed,57.18327127758392,42.71
lcd_panel,damaged,34.82680320646685,30.42
cable,good,4.453282461163475,77.55
pcb,mixed,42.498635197805065,85.01
mixed_plastic,good,12.297384342277375,16.42
motor,mixed,70.5242319270433,42.54
other,mixed,39.61813289664331,8.96
other,good,28.56146219543808,10.81
mixed_plastic,damaged,82.3223119312458,10.62
mixed_plastic,good,53.43361586906013,14.89
battery,good,26.798879900462428,69.65
other,good,88.01230367894303,10.84
magnet_assembly,damaged,118.424534903277,46.06
pcb,good,64.13571350387632,125.86
cable,good,105.72639876359125,81.86
battery,good,60.6062210919555,75.21
mixed_plastic,mixed,75.67722139846205,10.58
magnet_assembly,damaged,23.83697267490305,45.29
other,good,0.5,9.75
motor,damaged,98.87202210075253,37.03
cable,damaged,119.98325221089996,50.11
cable,good,136.83770869991255,87.41
lcd_panel,damaged,42.96456750270654,35.85
mixed_plastic,damaged,45.7787979199077,10.09
motor,good,42.625733971316166,48.55
crt,damaged,141.85772307220753,20.82
cable,good,29.735579732015292,82.2
motor,mixed,30.601318500041156,39.63
battery,damaged,81.01781883052371,49.18
motor,mixed,18.83393392286811,41.17
mixed_plastic,damaged,42.22673818318686,11.64
magnet_assembly,mixed,126.0476274301203,53.91
crt,good,47.57356744741517,31.78
mixed_plastic,mixed,80.88086248013691,11.43
magnet_assembly,mixed,111.25294978317876,50.66
other,damaged,55.79470658630221,7.37
lcd_panel,damaged,25.409085393723267,34.2
cable,good,41.55479044689223,85.01
crt,damaged,10.512818913952643,19.93
other,mixed,99.05620575481535,7.72
lcd_panel,good,96.28385541855835,43.53
magnet_assembly,mixed,25.502505014382486,52.83
motor,mixed,64.46014100824407,44.91
lcd_panel,good,0.5,46.03
battery,good,24.177222854060982,72.37
other,damaged,88.77828802106947,7.38
lcd_panel,damaged,67.08777447486739,27.7
other,good,39.36921654024068,10.7
pcb,damaged,107.33689679300673,85.9
other,damaged,81.73954882208852,6.74
other,good,0.5,10.09
mixed_plastic,good,39.869803598991595,14.57
mixed_plastic,damaged,1.4216287698935375,11.84
pcb,good,102.41234984478433,120.13
crt,good,105.82735243159824,32.31
mixed_plastic,good,125.65551398201356,14.57
battery,good,31.516159253944068,76.76
pcb,mixed,32.54456437893725,84.74
pcb,good,45.61560784296677,127.61
battery,good,46.26263716332002,75.83
cable,mixed,59.159297002443125,64.73
cable,good,49.26786063914042,82.39
motor,good,65.88978436965812,53.79
pcb,good,18.488649923670444,115.04
battery,mixed,25.16609606995536,56.81
pcb,good,62.975998871516445,117.73
crt,damaged,35.68355638475351,19.8
motor,damaged,0.8180162219033278,33.95
battery,damaged,69.86796892946087,49.6
pcb,good,116.5776101579284,120.36
motor,good,112.47625699064425,53.43
battery,damaged,74.86287559424204,55.22
crt,mixed,35.21558655825464,24.08
cable,mixed,0.5,60.57
crt,damaged,100.47686002855967,20.65
other,good,71.45565489137837,10.18
pcb,damaged,62.27750829438207,86.19
magnet_assembly,mixed,42.10646318770696,52.25
crt,damaged,43.949068653859534,19.79
mixed_plastic,good,44.589826984252305,15.4
magnet_assembly,good,90.14266240733141,61.29
motor,damaged,19.084893287055635,32.99
lcd_panel,good,66.28209148498141,47.7
other,damaged,98.37064443874957,6.14
mixed_plastic,mixed,0.5,12.97
other,damaged,64.05792830166331,6.18
other,damaged,92.8060095326571,6.56
cable,damaged,42.35809240211881,49.78
lcd_panel,good,28.06241312692041,43.43
motor,good,50.04821901448897,53.46
motor,good,17.316454757272375,48.05
mixed_plastic,good,19.23430600850807,16.06
mixed_plastic,damaged,12.403875955645411,11.72
magnet_assembly,damaged,75.41672120836905,47.75
battery,good,0.5,70.87
other,good,50.318571305893215,10.17
cable,damaged,90.1483809524271,49.15
lcd_panel,good,83.73490488628235,48.18
motor,damaged,72.37796303980149,31.2
magnet_assembly,damaged,5.077577594217928,46.58
mixed_plastic,damaged,37.031007240068384,9.16
crt,good,50.00828259672788,28.71
motor,damaged,49.627987154455425,30.63
lcd_panel,damaged,69.19149771936702,27.74
other,good,43.04453433643329,9.91
lcd_panel,good,60.502453160076996,45.68
crt,good,57.74359645470177,32.71
pcb,good,47.3780957287598,120.98
other,damaged,129.26767225600116,6.01
magnet_assembly,good,43.25973476260526,59.51
crt,damaged,57.979517691096525,23.66
other,good,74.63084599084567,9.57
battery,damaged,98.15537748675266,47.39
other,damaged,61.52504946910817,7.54
other,good,16.64659266240791,10.65
lcd_panel,damaged,114.86400399065286,30.34
motor,damaged,25.13491303856388,38.8
crt,damaged,76.91544865269805,18.75
pcb,good,43.42334238154474,125.61
battery,damaged,148.68814843249967,43.19
pcb,damaged,10.30566854037945,91.76
motor,damaged,79.63297381680503,30.15
battery,mixed,29.471457341136592,60.74
crt,good,41.2785648720712,30.32
crt,mixed,0.5,22.6
other,mixed,130.71631855332953,7.62
crt,damaged,58.65267526274003,23.86
motor,good,76.91444943867279,48.4
motor,damaged,73.67256534965512,33.32
other,damaged,0.5,6.74
battery,damaged,60.222946148494756,55.64
pcb,good,56.93366657481633,128.05
mixed_plastic,good,59.75812791634001,14.59
mixed_plastic,good,20.274629409280646,15.34
magnet_assembly,damaged,18.119887856712722,42.99
mixed_plastic,mixed,71.48363332244574,10.73
other,good,52.065055068448316,10.59
magnet_assembly,good,101.26575180015075,62.2
battery,damaged,72.30764242900499,54.69
crt,good,40.63920563572074,30.61
other,damaged,68.65433497785338,7.38
lcd_panel,good,16.59428393479908,43.66
lcd_panel,good,133.58154886779093,47.89
battery,mixed,76.18616651632031,59.65
pcb,good,57.386111036184026,122.02
crt,good,50.407002829657216,30.26
motor,good,57.39769131497637,52.27
mixed_plastic,damaged,51.91845783926187,9.78
other,mixed,63.273754530340625,7.35
motor,damaged,67.03548824772143,37.57
mixed_plastic,damaged,50.765911096630084,9.93
crt,damaged,72.49266482493033,21.62
battery,good,66.69053791432745,70.25
battery,good,85.29332249293637,74.15
motor,damaged,31.916386686676784,30.29
pcb,mixed,49.711998168386536,96.31
magnet_assembly,good,74.60120775089277,60.53
battery,good,46.61748003424768,69.39
crt,damaged,23.108869112496045,19.51
cable,damaged,95.04800348756564,62.44
cable,good,39.05215615070463,82.07
other,good,33.718547482928784,10.93
battery,damaged,77.45273827826803,49.89
battery,damaged,17.795630404548305,46.94
magnet_assembly,mixed,88.31528912707907,52.71
battery,damaged,0.5,45.57
pcb,damaged,58.54583526049886,72.79
other,good,77.08638848263149,10.19
mixed_plastic,mixed,35.38548036909076,10.64
cable,damaged,77.20864421801798,50.43
other,damaged,97.700300499119,6.09
cable,damaged,77.6094720152109,48.87
mixed_plastic,good,0.5,14.93
cable,good,98.6949427900652,86.18
magnet_assembly,damaged,82.82221676025492,46.75
battery,damaged,31.423829507624493,47.19
motor,damaged,68.48243573007586,32.2
motor,good,119.55598655190316,48.09
lcd_panel,damaged,89.15432203127182,32.25
motor,good,0.5,52.86
battery,damaged,81.71739413972429,52.93
other,good,48.05572420508738,9.74
magnet_assembly,damaged,67.94452413272649,47.05
magnet_assembly,good,33.28880810272881,57.28
other,good,87.68952605989446,10.02
motor,damaged,79.49492541043297,34.35
crt,good,95.64530926125003,30.67
cable,damaged,21.5002322876705,48.4
cable,good,107.77681552614766,85.57
