material_category,weight_kg,rate_inr,total_inr,is_anomaly
lcd_panel,122.99998887396734,48.21,5929.98,0
pcb,52.044321395076075,115.53,6012.47,0
battery,96.23711207525142,81.99,7890.59,0
pcb,92.08427289898543,96.88,8921.55,0
mixed_plastic,14.54709580016008,16.55,240.73,0
mixed_plastic,124.0485410000588,13.39,1661.5,0
magnet_assembly,0.5,54.78,27.39,0
pcb,8.671749490276177,109.91,953.12,0
lcd_panel,104.52930254777809,52.46,5483.63,0
pcb,74.57273360647916,95.79,7143.24,0
motor,73.35879627391337,40.33,2958.86,0
motor,69.50434668154845,40.25,2797.36,0
magnet_assembly,87.87230266047482,66.12,5810.4,0
crt,5188.473793153021,30.0,155654.21,1
crt,27.837288102843615,31.57,878.88,0
battery,49.542643334704906,76.05,3767.75,0
cable,13.387233779515292,74.09,991.87,0
magnet_assembly,30.359881563889168,63.97,1942.03,0
battery,37.122202273127236,66.82,2480.61,0
cable,18.59960161189484,56.93,1058.8,0
cable,6.803606365567688,86.54,588.82,0
mixed_plastic,50.78307048360688,11.6,589.18,0
motor,85.15855892282605,54.2,4615.3,0
mixed_plastic,69.22434373389389,15.5,1072.95,0
magnet_assembly,94.22858303373172,61.64,5808.12,0
cable,37.45743548117741,70.29,2632.87,0
pcb,75.51994516272984,142.08,10729.97,0
magnet_assembly,0.5,51.06,25.53,0
motor,61.23536100555952,51.39,3146.6,0
motor,96.05156754150988,58.59,5627.58,0
magnet_assembly,5.502592985608452,65.5,360.42,0
other,9.006473483512877,11.27,101.49,0
other,52.077195092181256,10.26,534.47,0
battery,0.5,66.38,33.19,0
crt,42.51865484501117,24.21,1029.55,0
pcb,128.18844789045153,90.29,11573.59,0
magnet_assembly,75.40040226040355,66.73,5031.12,0
battery,30.22602071287469,68.79,2079.38,0
magnet_assembly,105.20792063592127,44.95,4729.42,0
magnet_assembly,85.05891822166808,45.38,3859.56,0
crt,53.80285747572305,21.11,1135.73,0
motor,83.92812685988862,42.77,3589.97,0
mixed_plastic,33.900912211932834,16.87,571.77,0
magnet_assembly,1.4368560132384118,57.09,82.02,0
mixed_plastic,19.949776252213056,13.24,264.1,0
cable,55.557712388160624,80.27,4459.55,0
mixed_plastic,0.5,67.64,33.82,1
mixed_plastic,37.39908206859948,11.58,433.11,0
crt,28.940591639712338,33.59,972.05,0
other,62.70447845735773,7.79,488.31,0
crt,33.71243983111901,27.31,920.79,0
magnet_assembly,89.54153643895727,62.03,5554.09,0
lcd_panel,22.10865278120744,40.26,890.06,0
lcd_panel,59.71825408525405,53.2,3176.93,0
other,80.65553906289597,11.65,939.96,0
cable,33.444202309005725,71.94,2406.06,0
magnet_assembly,50.486787291316205,51.68,2609.18,0
motor,46.28501994427789,50.23,2324.89,0
magnet_assembly,25.410081824436446,61.64,1566.2,0
battery,72.7526004620075,72.15,5249.34,0
battery,0.5,68.23,34.12,0
cable,55.4621296297677,67.0,3715.92,0
cable,70.70973287802127,83.49,5903.9,0
mixed_plastic,14.554995367454367,16.16,235.23,0
other,40.16374942865982,8.87,356.16,0
pcb,110.64543586294229,133.08,14724.59,0
crt,134.7169440281961,29.38,3958.11,0
battery,25.39080999929382,83.22,2113.02,0
cable,120.77349293602498,81.2,9806.97,0
crt,57.980293057555535,27.03,1567.48,0
other,158.4317719616213,8.83,1399.71,0
other,47.45018857984135,11.57,549.11,0
motor,54.105821141586574,56.79,3072.6,0
magnet_assembly,38.088153751041595,45.04,1715.41,0
other,105.65693414144974,7.63,805.68,0
magnet_assembly,51.38014260926631,63.31,3252.69,0
motor,34.82550769072051,44.79,1559.98,0
motor,51.91487546659233,53.39,2771.89,0
crt,32.56841081505456,24.85,809.41,0
other,16.342019434839663,66.22,1082.17,1
cable,22.891383504562338,95.89,2194.98,0
crt,36.58020163886628,35.12,1284.86,0
magnet_assembly,23.898868271334194,67.58,1615.09,0
mixed_plastic,25.552913919226917,12.4,316.87,0
other,32.64818801161909,7.53,245.99,0
pcb,76.54809743750691,128.45,9832.36,0
magnet_assembly,90.94547473955687,64.43,5859.83,0
battery,84.22159797012509,78.89,6644.29,0
pcb,2.4585818415559757,113.27,278.49,0
mixed_plastic,129.55280215135178,11.4,1476.73,0
cable,30.65365450249726,71.13,2180.33,0
mixed_plastic,40.13102303542238,11.69,468.96,0
magnet_assembly,22.027862435899756,46.34,1020.8,0
crt,66.58501597069133,28.4,1890.76,0
magnet_assembly,87.15407442635254,43.25,3769.82,0
mixed_plastic,75.07729795569867,17.89,1343.5,0
mixed_plastic,0.5,13.71,6.86,0
magnet_assembly,63.07409626794062,53.79,3392.66,0
mixed_plastic,126.78240343878575,12.39,1571.1,0
crt,64.22216741343911,28.13,1806.32,0
lcd_panel,52.20385970627415,32.21,1681.26,0
battery,78.50015358063843,63.39,4975.86,0
other,25.93992852712909,11.09,287.71,0
cable,71.75532057455116,61.05,4380.33,0
battery,5.766650216285676,52.79,304.41,0
pcb,19.071751825513715,97.14,1852.6,0
pcb,62.73491758058665,100.26,6289.66,0
battery,61.53006311477306,64.35,3959.18,0
mixed_plastic,15.847076499824915,16.48,261.23,0
mixed_plastic,5434.582125633562,15.0,81518.73,1
other,63.4511155699025,10.6,672.87,0
pcb,20.518825553892114,102.65,2106.25,0
crt,67.4693022225934,32.08,2164.53,0
cable,66.04828653931982,76.22,5034.43,0
magnet_assembly,0.5,63.02,31.51,0
motor,62.999382983069815,49.58,3123.22,0
battery,2187.6721737692355,70.0,153137.05,1
motor,60.373055411644614,57.77,3487.74,0
mixed_plastic,72.5310621830591,13.44,975.1,0
mixed_plastic,98.54823520074945,13.89,1368.4,0
motor,0.5,37.46,18.73,0
cable,36.17914502995109,74.16,2683.19,0
mixed_plastic,46.75904653044801,14.22,664.99,0
battery,49.1052455248664,49.52,2431.61,0
motor,93.00886164727663,57.87,5382.62,0
battery,91.8910563423785,59.77,5492.14,0
mixed_plastic,112.77357713482233,12.12,1367.07,0
pcb,21.601031025309684,105.42,2277.1,0
other,14.487617902660965,9.17,132.9,0
mixed_plastic,15.61283452037619,10.84,169.17,0
battery,46.27891688827702,72.71,3365.0,0
magnet_assembly,59.358406119395156,53.43,3171.7,0
battery,0.5,80.26,40.13,0
cable,84.77830518819289,84.86,7194.33,0
other,98.88792630223091,10.13,1001.97,0
lcd_panel,114.26295432298755,43.85,5010.31,0
lcd_panel,0.5,45.67,22.84,0
motor,133.28351071638474,58.59,7808.51,0
cable,17.386475606494315,63.18,1098.48,0
lcd_panel,0.6022628531720073,35.21,21.2,0
cable,17.113375732423727,70.71,1210.15,0
cable,0.5,75.72,37.86,0
crt,43.91746873355,30.24,1328.21,0
lcd_panel,68.8835340252253,41.9,2886.44,0
motor,25.316871631582515,52.39,1326.4,0
crt,5.592448073903064,31.75,177.54,0
other,106.08486993684666,9.95,1055.67,0
motor,16.93357624883162,51.85,878.01,0
other,0.5,10.02,5.01,0
crt,27.88428514253175,26.94,751.3,0
pcb,37.49291321386896,96.1,3603.04,0
battery,18.160443599649838,78.24,1420.91,0
motor,67.5660053480167,55.76,3767.23,0
motor,83.32717725080727,36.25,3020.68,0
pcb,71.75318825612953,120.91,8675.94,0
magnet_assembly,71.30595505927457,43.5,3101.95,0
mixed_plastic,163.81257098788763,17.42,2853.56,0
cable,4405.245124485953,80.0,352419.61,1
magnet_assembly,9299.880433842947,60.0,557992.83,1
pcb,109.84465468266482,104.35,11462.05,0
battery,81.2810955029651,49.28,4005.84,0
motor,13.535307913843894,47.21,638.98,0
pcb,4.633154188888383,102.06,472.84,0
crt,91.16721744511868,24.48,2232.15,0
battery,55.13922131673739,73.56,4056.04,0
cable,26.294252244572938,60.42,1588.59,0
pcb,29.009234193284108,84.49,2450.95,0
mixed_plastic,65.8189316658383,14.87,978.89,0
crt,22.76891686330802,34.87,793.95,0
other,53.629285376088774,12.0,643.42,0
motor,13.612408463666625,309.71,4215.87,1
motor,80.38000150064488,40.94,3290.59,0
magnet_assembly,100.38324977808908,46.53,4670.58,0
other,131.50182499315804,10.13,1332.27,0
motor,0.5,51.83,25.92,0
battery,16.199845990091156,83.66,1355.22,0
lcd_panel,46.1863563521327,52.98,2446.92,0
pcb,119.21287259428675,100.94,12033.8,0
magnet_assembly,95.7705266446844,47.06,4507.06,0
motor,12.757176948406261,51.14,652.37,0
magnet_assembly,35.58892612492096,45.37,1614.57,0
mixed_plastic,74.90125375748775,10.56,790.84,0
pcb,140.81978241044882,126.63,17831.37,0
motor,52.15326207469798,49.3,2570.96,0
crt,0.5,24.22,12.11,0
battery,42.81521114377467,82.27,3522.35,0
crt,23.306664751340787,30.13,702.35,0
motor,0.5,36.54,18.27,0
lcd_panel,86.95460063856699,42.06,3657.51,0
lcd_panel,109.18108814074071,40.4,4410.75,0
magnet_assembly,28.978785595796126,55.94,1620.94,0
lcd_panel,82.42515242664008,52.85,4356.5,0
magnet_assembly,7073.944727820341,60.0,424436.68,1
other,2553.8410059650537,10.0,25538.41,1
cable,0.5,69.37,34.68,0
battery,0.5,50.17,25.09,0
mixed_plastic,61.65300931498796,12.82,790.69,0
lcd_panel,27.030504987237602,45.96,1242.24,0
cable,127.15375856087026,89.31,11356.25,0
mixed_plastic,51.86113863734835,12.37,641.32,0
crt,97.30877311522711,25.67,2497.98,0
crt,41.62192206725345,21.92,912.46,0
motor,100.01147651764933,36.27,3627.55,0
battery,12.649850554396117,60.8,769.15,0
battery,39.63104472858083,66.88,2650.36,0
cable,4.431793135306712,87.64,388.4,0
lcd_panel,65.14008595670083,37.42,2437.27,0
battery,26.424376205982284,57.47,1518.52,0
other,109.15723753010222,9.45,1031.66,0
other,54.10859898288841,11.07,598.94,0
pcb,25.312834159570727,112.05,2836.37,0
battery,31.798135173303205,52.65,1674.27,0
crt,68.4729190334564,23.48,1607.58,0
mixed_plastic,81.35387761245539,13.82,1124.0,0
pcb,107.8777658554792,103.82,11199.62,0
motor,23.566630567594167,59.86,1410.77,0
mixed_plastic,69.4143963021276,15.49,1074.96,0
magnet_assembly,16.03580596039106,66.02,1058.75,0
motor,48.23977820232696,217.61,10497.23,1
mixed_plastic,36.37951821155292,11.49,418.04,0
motor,38.42103774588003,59.68,2292.94,0
battery,3.246402799832296,66.9,217.17,0
battery,41.80413211218738,81.11,3390.77,0
pcb,77.30129130117629,117.61,9091.75,0
cable,6631.332260741739,80.0,530506.58,1
motor,15.864021038435546,46.38,735.82,0
pcb,6.095560708970929,118.8,724.14,0
magnet_assembly,35.534875625098174,51.77,1839.68,0
crt,0.5,21.15,10.58,0
mixed_plastic,9.202506475837993,13.79,126.9,0
lcd_panel,21.541568245669865,43.27,932.04,0
pcb,75.94310690410838,132.54,10065.66,0
crt,51.21096617981221,34.67,1775.7,0
motor,0.5,58.54,29.27,0
mixed_plastic,0.5,12.43,6.22,0
mixed_plastic,59.369761681570836,14.09,836.67,0
motor,21.948417168338,52.96,1162.42,0
lcd_panel,14.967407014148264,37.36,559.25,0
battery,27.568221230400994,53.84,1484.36,0
pcb,28.877555478970503,102.81,2969.03,0
battery,74.73442265038659,49.64,3710.0,0
pcb,108.22401917029192,84.56,9151.5,0
cable,97.40938799540658,82.38,8024.11,0
motor,0.5,51.06,25.53,0
other,42.182325048284625,9.46,399.01,0
pcb,71.85326824007004,100.17,7197.5,0
crt,57.839489682265466,21.03,1216.31,0
other,25.920735901309342,11.74,304.24,0
lcd_panel,9888.223425571437,45.0,444970.05,1
pcb,30.47810397396849,133.36,4064.5,0
lcd_panel,38.0193984981009,41.96,1595.26,0
mixed_plastic,0.5718791180236451,10.76,6.15,0
cable,0.5,93.52,46.76,0
lcd_panel,0.5,33.51,16.75,0
mixed_plastic,33.83371362082789,14.38,486.55,0
lcd_panel,6112.246555806956,45.0,275051.1,1
motor,16.422704078949614,54.4,893.47,0
mixed_plastic,34.089524346125955,15.57,530.73,0
cable,0.5,79.75,39.88,0
lcd_panel,24.42384604656121,34.04,831.51,0
lcd_panel,82.40108954024466,47.18,3887.51,0
other,21.005556647997913,8.82,185.31,0
cable,102.65070205999874,75.02,7700.51,0
pcb,85.32458206633932,136.93,11683.5,0
other,77.75293815436409,11.48,892.38,0
crt,96.66113344884013,34.75,3358.62,0
cable,82.83691516438837,90.36,7485.1,0
cable,13.539601252925124,83.22,1126.82,0
crt,118.55703201707973,35.24,4178.4,0
battery,58.010474861460295,68.62,3980.61,0
magnet_assembly,57.750583145792824,70.0,4042.44,0
cable,42.337713661270215,85.14,3604.44,0
battery,0.5,55.11,27.56,0
lcd_panel,37.20694888444975,44.55,1657.39,0
motor,18.16118504598007,44.31,804.65,0
crt,57.6755818008659,29.62,1708.27,0
mixed_plastic,0.5,10.91,5.46,0
cable,88.567150935337,78.1,6917.11,0
mixed_plastic,73.95985366737057,11.25,832.18,0
other,84.13395909360587,11.31,951.64,0
cable,19.09084853725996,93.2,1779.22,0
motor,0.5,57.76,28.88,0
cable,75.67788517774804,80.26,6073.63,0
other,39.18929582544444,8.32,326.05,0
crt,79.81489168007191,29.15,2326.47,0
crt,40.283062152940765,30.21,1217.01,0
pcb,123.82582277097261,130.58,16169.7,0
cable,89.59835702723541,60.12,5386.8,0
lcd_panel,47.268194108394425,51.18,2419.01,0
crt,10.70047508402881,22.2,237.51,0
mixed_plastic,0.5,12.98,6.49,0
motor,88.72100303482335,46.76,4148.34,0
other,132.1677536502428,8.26,1091.25,0
mixed_plastic,55.91282956146108,16.06,898.16,0
magnet_assembly,3.7819282472936138,59.12,223.59,0
motor,79.00324177790031,35.0,2765.48,0
battery,26.301381784779426,53.76,1413.86,0
lcd_panel,63.08289499511381,48.38,3051.77,0
magnet_assembly,47.45494384721589,70.52,3346.44,0
magnet_assembly,0.5,59.38,29.69,0
magnet_assembly,73.38096207349739,58.75,4310.91,0
magnet_assembly,39.27443443032947,51.75,2032.61,0
motor,0.5,43.32,21.66,0
battery,30.57285021699812,75.29,2301.83,0
pcb,100.20421666332335,137.16,13744.46,0
cable,77.46836817394262,75.6,5856.28,0
lcd_panel,36.48488898104773,270.24,9859.54,1
mixed_plastic,50.08926488649608,14.94,748.18,0
magnet_assembly,22.43552809112839,68.78,1543.2,0
motor,68.70760415435542,47.62,3271.58,0
lcd_panel,61.96945847673764,51.61,3198.06,0
crt,79.69776954587826,34.0,2709.84,0
motor,62.548927315876284,50.48,3157.71,0
mixed_plastic,0.5,10.69,5.35,0
pcb,86.39133380404651,115.5,9977.86,0
lcd_panel,46.41344313841464,35.72,1658.07,0
motor,0.5,35.94,17.97,0
battery,61.521134732219565,73.6,4527.81,0
motor,64.23265341107985,55.46,3562.35,0
battery,72.11135424887718,52.04,3752.4,0
cable,39.18514403456835,95.14,3728.07,0
other,0.5,10.59,5.3,0
motor,110.1976875646082,53.93,5943.22,0
crt,81.27519370416488,25.69,2087.74,0
other,0.5,8.34,4.17,0
lcd_panel,27.536775392692093,45.4,1250.03,0
magnet_assembly,100.55415359640483,49.84,5011.22,0
other,9.601831892953605,10.17,97.62,0
crt,2753.944531236205,30.0,82618.34,1
magnet_assembly,68.15772639028076,64.41,4390.06,0
battery,68.36720669339454,51.55,3524.6,0
mixed_plastic,38.21689438000018,10.62,405.74,0
other,74.42044009436056,7.2,535.62,0
cable,0.5,89.1,44.55,0
mixed_plastic,42.743907554396166,17.36,742.15,0
battery,33.616387908648,70.87,2382.47,0
lcd_panel,96.08154793254919,51.5,4947.78,0
battery,52.48205395291978,50.86,2669.2,0
mixed_plastic,0.5,13.76,6.88,0
other,60.66151723311589,9.77,592.52,0
magnet_assembly,37.05750763061301,43.01,1593.83,0
crt,98.01095908085551,26.17,2564.79,0
mixed_plastic,100.23064701074235,14.35,1438.17,0
motor,0.5,56.51,28.25,0
lcd_panel,37.50513943274729,41.54,1558.02,0
magnet_assembly,127.24011792123135,49.51,6300.08,0
motor,46.64867600443741,56.87,2652.8,0
other,140.16152435684478,10.15,1422.92,0
crt,88.12705017317415,24.51,2160.25,0
pcb,81.56300805599639,96.71,7887.79,0
pcb,13.664876281172539,131.31,1794.38,0
magnet_assembly,30.940794781942756,56.34,1743.29,0
cable,57.32051713245928,87.36,5007.66,0
motor,10.338918355814712,39.16,404.85,0
lcd_panel,8.881212922855653,51.19,454.63,0
mixed_plastic,5783.847850965887,15.0,86757.72,1
crt,26.102468101098147,28.69,748.85,0
battery,72.66047717764758,71.67,5207.46,0
pcb,64.36220373921466,103.96,6691.12,0
crt,6368.790464026327,30.0,191063.71,1
cable,53.124048043373065,86.0,4568.8,0
other,121.14061745060718,52.57,6368.5,1
mixed_plastic,45.86148840612306,10.59,485.59,0
mixed_plastic,30.417174118773136,11.88,361.42,0
magnet_assembly,59.95348315005515,62.07,3721.46,0
crt,27.18987228687641,22.33,607.06,0
battery,0.5,62.45,31.22,0
pcb,15.256142774571671,89.32,1362.65,0
cable,54.95359972285964,79.4,4363.3,0
magnet_assembly,28.441233315440684,66.87,1901.81,0
crt,43.100158624101745,30.29,1305.35,0
motor,12.513953686627097,51.44,643.71,0
motor,66.74818313169473,43.98,2935.37,0
motor,49.44107086095707,53.46,2643.22,0
mixed_plastic,16.520956730715554,15.85,261.87,0
other,0.5,8.18,4.09,0
lcd_panel,54.01158890028155,42.25,2282.11,0
battery,41.44178283249801,55.68,2307.41,0
motor,24.532049440978767,54.66,1341.01,0
magnet_assembly,81.08623497747323,66.37,5381.99,0
other,93.38002121163703,9.9,924.44,0
mixed_plastic,48.992452658820824,10.78,528.36,0
other,29.823092668113222,11.29,336.82,0
motor,0.5,59.21,29.61,0
other,72.20358797766347,9.44,681.64,0
mixed_plastic,61.22549467130748,14.16,866.77,0
cable,24.132234936696044,74.81,1805.43,0
other,14.110235413201082,10.93,154.24,0
mixed_plastic,60.50011563407335,17.16,1038.07,0
magnet_assembly,18.633445665606686,53.49,996.75,0
motor,0.5,55.2,27.6,0
battery,22.86363206620511,80.66,1844.1,0
other,39.90879903797277,10.16,405.67,0
lcd_panel,41.32372021037454,49.82,2058.56,0
lcd_panel,77.29355128238637,50.9,3934.0,0
battery,87.86308014293547,273.92,24067.74,1
battery,75.9345982558252,66.4,5042.05,0
battery,0.5,68.09,34.04,0
cable,32.334447612930425,72.93,2358.25,0
mixed_plastic,86.76786236070893,11.79,1022.86,0
other,34.06218900042533,7.77,264.51,0
magnet_assembly,32.13427812741574,43.26,1390.1,0
mixed_plastic,66.1057804585649,12.28,811.77,0
cable,31.025924204425156,63.74,1977.65,0
lcd_panel,7.021446800800476,43.57,305.9,0
magnet_assembly,35.30199723215274,60.03,2119.21,0
battery,71.78498297997355,78.35,5624.57,0
lcd_panel,67.97734063789049,38.17,2594.96,0
other,99.7868070726998,9.16,914.53,0
cable,84.11377080377365,83.75,7044.5,0
motor,0.5,41.63,20.81,0
magnet_assembly,97.55468711748141,62.31,6078.87,0
other,0.5,8.64,4.32,0
lcd_panel,79.00414567666049,34.76,2746.12,0
motor,50.79981944825677,48.13,2445.06,0
other,34.00693062853894,41.32,1405.16,1
magnet_assembly,130.379663665823,62.48,8146.04,0
pcb,8.253625998917997,138.62,1144.12,0
motor,49.26575103225052,41.29,2034.08,0
pcb,24.087307950876422,108.88,2622.67,0
battery,0.5,49.32,24.66,0
cable,92.31204030167675,84.44,7794.57,0
lcd_panel,3721.7651621310306,45.0,167479.43,1
motor,79.4431502417951,42.95,3412.1,0
other,0.5,10.57,5.28,0
mixed_plastic,0.5,16.56,8.28,0
crt,24.656419380247492,28.41,700.54,0
mixed_plastic,0.5,16.96,8.48,0
mixed_plastic,58.625926059066366,15.86,929.55,0
battery,57.72458534760099,581.81,33584.69,1
lcd_panel,55.13804268985172,38.94,2147.03,0
pcb,26.34781444484217,119.53,3149.29,0
motor,29.08906881274817,51.47,1497.2,0
battery,13.560755357990494,59.38,805.2,0
magnet_assembly,0.5,59.5,29.75,0
magnet_assembly,0.5,53.35,26.67,0
lcd_panel,52.01091565261498,31.7,1648.68,0
motor,36.208155080232686,59.93,2169.98,0
cable,41.39214705759278,79.61,3295.31,0
lcd_panel,95.73592428598211,41.85,4006.23,0
lcd_panel,78.94329143640226,53.47,4221.17,0
motor,39.60953378849295,45.25,1792.17,0
magnet_assembly,39.68241184593077,51.63,2048.83,0
pcb,130.3493369158441,92.37,12040.58,0
motor,130.9329897692033,47.39,6204.77,0
motor,104.50462485529219,50.24,5250.23,0
lcd_panel,53.781994092914275,52.85,2842.33,0
crt,23.723334124964946,27.06,641.87,0
lcd_panel,69.52791107565146,408.66,28413.17,1
pcb,46.51295354296275,104.9,4879.04,0
cable,0.5,93.33,46.66,0
pcb,31.121969229444765,101.44,3157.16,0
mixed_plastic,34.76905141571589,12.78,444.18,0
motor,52.3356377415403,40.21,2104.32,0
lcd_panel,124.51983662079172,38.35,4775.12,0
lcd_panel,100.26454410613923,53.09,5322.78,0
other,56.55300453998865,7.84,443.35,0
lcd_panel,63.032876815913696,42.19,2659.48,0
motor,67.73163706429702,56.11,3800.47,0
magnet_assembly,57.284241282293074,60.0,3437.08,0
cable,0.5,89.3,44.65,0
crt,62.63554946818134,27.67,1732.87,0
other,0.5,9.07,4.53,0
magnet_assembly,81.96113967518544,48.45,3971.07,0
crt,67.9172269351756,23.82,1617.99,0
magnet_assembly,62.9854716171761,42.45,2673.49,0
magnet_assembly,40.37313769999,67.4,2721.22,0
mixed_plastic,16.05214804893913,15.94,255.88,0
lcd_panel,56.30538233763776,42.25,2379.05,0
other,57.79820369648749,7.11,411.05,0
pcb,57.52293427967092,116.28,6689.04,0
crt,15.952780702100597,30.89,492.79,0
magnet_assembly,60.786711559491216,71.18,4326.52,0
other,44.78554876082605,7.06,316.0,0
lcd_panel,5.948540406406877,51.48,306.21,0
mixed_plastic,79.28604904218942,13.29,1053.99,0
mixed_plastic,65.50171425914192,10.69,700.06,0
lcd_panel,50.78811053911484,45.24,2297.48,0
other,47.67130994850596,7.73,368.29,0
crt,96.37074153910814,23.48,2262.88,0
cable,59.142544267995106,725.94,42933.85,1
other,25.408757051656607,8.31,211.08,0
cable,11.159727063574437,63.31,706.48,0
pcb,66.99197253907141,126.59,8480.76,0
mixed_plastic,14.949306032755047,15.34,229.37,0
battery,83.91204096517276,65.89,5528.61,0
other,3711.470262408378,10.0,37114.7,1
motor,49.01743171960464,55.16,2703.75,0
cable,25.986453639740517,76.1,1977.47,0
pcb,73.74157729172764,105.64,7790.42,0
motor,95.96112251993175,55.48,5324.24,0
crt,25.05763778803439,26.11,654.33,0
motor,98.94896170018885,43.78,4332.03,0
motor,21.91001830547426,58.68,1285.66,0
magnet_assembly,29.37530678710942,51.03,1498.98,0
pcb,57.467076963903594,122.66,7049.02,0
other,75.54173269070397,10.5,793.3,0
mixed_plastic,117.90495118837364,15.5,1827.35,0
cable,65.61113908238184,57.03,3741.49,0
other,20.635597950450347,11.85,244.45,0
battery,9119.448447120783,70.0,638361.39,1
battery,59.288777187014695,50.34,2984.89,0
mixed_plastic,93.81797938035798,11.47,1075.73,0
cable,46.59659337395916,83.08,3871.24,0
lcd_panel,0.5,49.36,24.68,0
battery,50.73009843424452,53.71,2724.46,0
pcb,71.92284632197044,90.49,6508.21,0
crt,55.17470684043249,33.25,1834.64,0
lcd_panel,0.5,45.5,22.75,0
crt,67.24038768520307,32.17,2162.79,0
battery,31.07929330916184,52.51,1631.92,0
cable,0.5,73.43,36.72,0
pcb,108.19304696586602,125.67,13596.89,0
pcb,0.5,98.07,49.03,0
lcd_panel,32.549478712798845,34.94,1137.28,0
crt,91.9246703707662,22.98,2112.41,0
magnet_assembly,56.04630981014432,65.7,3682.02,0
cable,0.5,68.0,34.0,0
other,0.5,8.15,4.08,0
mixed_plastic,19.249343598459177,12.4,238.78,0
pcb,148.54227728529037,127.01,18866.04,0
lcd_panel,45.643740194466716,371.3,16947.4,1
crt,25.990970795577162,21.48,558.29,0
pcb,77.13094801558972,130.51,10066.26,0
magnet_assembly,55.05697632498947,56.42,3106.44,0
battery,25.446919252250787,59.89,1523.93,0
lcd_panel,30.83186503215135,53.59,1652.21,0
other,92.09023734975855,7.16,659.65,0
